Date,Open,High,Low,Close,Adj Close,Volume
2013-03-08,21.500000,21.780001,21.500000,21.745001,17.937094,18815
2013-03-11,21.570000,21.615000,21.290001,21.440001,17.685499,18287
2013-03-12,21.440001,21.450001,21.240000,21.245001,17.524651,13315
2013-03-13,21.330000,21.635000,21.330000,21.600000,17.817484,4170
2013-03-14,21.490000,21.750000,21.490000,21.600000,17.817484,9565
2013-03-15,21.639999,21.670000,21.450001,21.540001,17.767994,8514
2013-03-18,21.500000,21.809999,21.385000,21.799999,17.982458,14253
2013-03-19,21.750000,21.860001,21.610001,21.740000,17.932962,23572
2013-03-20,21.900000,21.985001,21.764999,21.770000,17.957718,9473
2013-03-21,21.799999,21.975000,21.745001,21.780001,17.965965,8793
2013-03-22,21.885000,21.885000,21.650000,21.709999,17.908218,12593
2013-03-25,21.805000,21.995001,21.745001,21.809999,17.990702,11207
2013-03-26,21.900000,22.059999,21.879999,21.895000,18.060825,12021
2013-03-27,21.920000,22.200001,21.920000,22.100000,18.229927,17386
2013-03-28,22.180000,22.285000,22.100000,22.170000,18.287666,9513
2013-04-02,22.330000,22.490000,22.250000,22.480000,18.543377,14084
2013-04-03,22.455000,22.594999,22.370001,22.445000,18.514511,6949
2013-04-04,22.080000,22.250000,22.000000,22.105000,18.234047,15954
2013-04-05,22.100000,22.250000,21.655001,21.730000,17.924721,22921
2013-04-08,22.030001,22.160000,21.969999,21.969999,18.122690,10484
2013-04-09,22.080000,22.280001,21.940001,22.280001,18.378403,12496
2013-04-10,22.600000,23.150000,22.540001,23.150000,19.096050,26112
2013-04-11,22.389999,22.490000,21.860001,21.860001,18.031952,65515
2013-04-12,21.980000,22.100000,21.910000,21.930000,18.089701,28863
2013-04-15,21.900000,22.055000,21.764999,22.055000,18.192802,15664
2013-04-16,22.049999,22.135000,21.900000,21.940001,18.097944,20957
2013-04-17,21.850000,22.125000,21.795000,22.105000,18.234047,17950
2013-04-18,22.040001,22.180000,21.895000,21.934999,18.093817,15743
2013-04-19,22.600000,23.000000,22.450001,22.715000,18.737232,49822
2013-04-22,22.950001,23.844999,22.850000,23.620001,19.483747,31611
2013-04-23,23.450001,23.754999,23.440001,23.639999,19.500244,28338
2013-04-24,23.600000,23.955000,23.450001,23.955000,19.760086,18207
2013-04-25,24.305000,25.250000,24.209999,25.070000,20.679832,54391
2013-04-26,24.450001,24.525000,24.100000,24.209999,19.970427,21487
2013-04-29,24.250000,24.900000,24.219999,24.785000,20.444740,71823
2013-04-30,24.809999,24.985001,24.660000,24.969999,20.597338,19516
2013-05-02,24.809999,25.049999,24.719999,25.000000,20.622089,20296
2013-05-03,25.200001,25.594999,25.000000,25.540001,21.067524,27003
2013-05-06,25.420000,25.600000,25.315001,25.530001,21.059277,28118
2013-05-07,25.750000,25.879999,25.475000,25.570000,21.092270,24536
2013-05-08,25.450001,25.450001,24.770000,24.950001,20.580845,34504
2013-05-09,25.160000,25.160000,24.889999,25.065001,20.675705,2729
2013-05-10,24.969999,25.205000,24.969999,25.205000,20.791187,24906
